id,name,sell,process,stats,obtained_monster,obtained_map,type,image_paths
17,Black Fur,5 Spina,5 Cloth,,Death Hound(Lv 31) (ID: 161); Death Hound(Lv 32) (ID: 163); Death Hound(Lv 54) (ID: 306); Death Hound(Lv 55) (ID: 307),Scaro Town: Area 1; Scaro Town: Area 2; Lost Town; Lost Town,Material,[]
18,Black Miasma,12 Spina,3 Mana,,Eerie Crystal(Lv 24) (ID: 36); Eerie Crystal(Lv 14) (ID: 656); Eerie Crystal(Lv 34) (ID: 657); Eerie Crystal(Lv 44) (ID: 658); Eerie Crystal(Lv 64) (ID: 659),Isthmus Of Kaus: Dragon's Den; Isthmus Of Kaus: Dragon's Den; Isthmus Of Kaus: Dragon's Den; Isthmus Of Kaus: Dragon's Den; Isthmus Of Kaus: Dragon's Den,Material,[]
19,Blazing Crystal,8 Spina,2 Mana,,Flame Roar(Lv 43) (ID: 214),Saham Crater,Material,[]
20,Blue Butterfly Wing,5 Spina,5 Cloth,,Farfara(Lv 40) (ID: 227),Darkanon Plain,Material,[]
21,Blue Gelatin,3 Spina,3 Medicine,MP: 10,Blue Jelly (small)(Lv 5) (ID: 55); Blue Jelly (big)(Lv 7) (ID: 56); Blue Jelly (big)(Lv 8) (ID: 60); Blue Jelly (big)(Lv 8) (ID: 66); Blue Jelly (small)(Lv 8) (ID: 74); Blue Jelly (big)(Lv 10) (ID: 75),Underground Channel; Underground Channel; Debakcy Channel: B1; Debakcy Channel: B2; Debacky Channel; Debacky Channel,Usable,[]
22,Boss Colon Skin,6 Spina,7 Medicine,,The Strongest boss in game(Lv 999) (ID: 6); Boss Colon(Lv 4) (ID: 646); Boss Colon(Lv 20) (ID: 647); Boss Colon(Lv 30) (ID: 648); Boss Colon(Lv 50) (ID: 649),Land Under Development; Land Under Development; Land Under Development; Land Under Development; Land Under Development,Material,[]
23,Boss Roga's Belt,11 Spina,12 Cloth,,Boss Roga(Lv 62) (ID: 224); Boss Roga(Lv 52) (ID: 742); Boss Roga(Lv 72) (ID: 743); Boss Roga(Lv 82) (ID: 744); Boss Roga(Lv 102) (ID: 745),Saham Underground Cave - Deepest Part; Saham Underground Cave - Deepest Part; Saham Underground Cave - Deepest Part; Saham Underground Cave - Deepest Part; Saham Underground Cave - Deepest Part,Material,[]
24,Breeze Crystal,7 Spina,2 Mana,,Wind Roar(Lv 32) (ID: 152),Zoktzda Ruins : Abnormal Space,Material,[]
25,Broadcloth,6 Spina,7 Cloth,,Orc(Lv 46) (ID: 213); Orc Warrior(Lv 46) (ID: 219); Orc Warrior(Lv 47) (ID: 220); Orc Warrior(Lv 49) (ID: 223),Saham Crater; Saham Underground Cave: B1; Saham Underground Cave: B2; Saham Underground Cave: B3,Material,[]
26,Broken Boss Gob Sword,8 Spina,8 Metal,,Boss Goblin(Lv 40) (ID: 129); Boss Goblin(Lv 30) (ID: 707); Boss Goblin(Lv 50) (ID: 708); Boss Goblin(Lv 60) (ID: 709); Boss Goblin(Lv 80) (ID: 710),Ribisco Cave: Deepest Part; Ribisco Cave: Deepest Part; Ribisco Cave: Deepest Part; Ribisco Cave: Deepest Part; Ribisco Cave: Deepest Part,Material,[]
27,Broken Equipment,7 Spina,7 Cloth,,Tower Ghost(Lv 37) (ID: 175),Aulada Ancient Tower,Material,[]
28,Broken Farm Tool,6 Spina,6 Metal,,Crow Killer(Lv 20) (ID: 156); Crow Killer(Lv 21) (ID: 157),Douce Hamlet; Douce Hamlet,Material,[]
29,Broken Huge Mace,7 Spina,7 Metal,,Boss Roga(Lv 62) (ID: 224); Boss Roga(Lv 52) (ID: 742); Boss Roga(Lv 72) (ID: 743); Boss Roga(Lv 82) (ID: 744); Boss Roga(Lv 102) (ID: 745),Saham Underground Cave - Deepest Part; Saham Underground Cave - Deepest Part; Saham Underground Cave - Deepest Part; Saham Underground Cave - Deepest Part; Saham Underground Cave - Deepest Part,Material,[]
30,Broken Linen Thread,2 Spina,2 Cloth,,Crow Killer(Lv 20) (ID: 156); Crow Killer(Lv 21) (ID: 157),Douce Hamlet; Douce Hamlet,Material,[]
31,Broken Magic Lantern,13 Spina,3 Mana,,Ruin Golem(Lv 45) (ID: 154); Ruin Golem(Lv 35) (ID: 719); Ruin Golem(Lv 55) (ID: 720); Ruin Golem(Lv 65) (ID: 721); Ruin Golem(Lv 85) (ID: 722),Zoktzda ruins : Reversed Hall; Zoktzda ruins : Reversed Hall; Zoktzda ruins : Reversed Hall; Zoktzda ruins : Reversed Hall; Zoktzda ruins : Reversed Hall,Material,[]
32,Broken Metal,5 Spina,4 Metal,,Goblin (sword)(Lv 22) (ID: 113); Goblin (sword)(Lv 24) (ID: 118); Goblin (sword)(Lv 24) (ID: 121); Goblin (sword)(Lv 24) (ID: 123); Goblin (sword)(Lv 26) (ID: 124); Goblin (sword)(Lv 28) (ID: 127),Rinom Plains; Ribisco Cave: Area 1; Ribisco Cave: Area 2; Ribisco Cave: Area 3; Ribisco Cave: Area 3; Ribisco Cave: Deepest Part,Material,[]
33,Brutal Dragon Claw,9 Spina,10 Beast,,Brutal Dragon Decel(Lv 40) (ID: 108); Brutal Dragon Decel (Megiston 2016)(Lv 90) (ID: 480); Brutal Dragon Decel(Lv 30) (ID: 673); Brutal Dragon Decel(Lv 50) (ID: 674); Brutal Dragon Decel(Lv 60) (ID: 675),Nisel Mountain: The Top; Event; Nisel Mountain: The Top; Nisel Mountain: The Top; Nisel Mountain: The Top,Material,[]
34,Brutal Dragon Horn,8 Spina,10 Beast,,Brutal Dragon Decel(Lv 40) (ID: 108); Brutal Dragon Decel(Lv 30) (ID: 673); Brutal Dragon Decel(Lv 50) (ID: 674); Brutal Dragon Decel(Lv 60) (ID: 675),Nisel Mountain: The Top; Nisel Mountain: The Top; Nisel Mountain: The Top; Nisel Mountain: The Top,Material,[]
35,Brutal Dragon Skin,7 Spina,7 Cloth,,Brutal Dragon Decel(Lv 40) (ID: 108); Brutal Dragon Decel (Megiston 2016)(Lv 90) (ID: 480); Brutal Dragon Decel(Lv 30) (ID: 673); Brutal Dragon Decel(Lv 50) (ID: 674); Brutal Dragon Decel(Lv 60) (ID: 675),Nisel Mountain: The Top; Event; Nisel Mountain: The Top; Nisel Mountain: The Top; Nisel Mountain: The Top,Material,[]
36,Brutal Dragon Tail,7 Spina,8 Beast,,Brutal Dragon Decel(Lv 40) (ID: 108); Brutal Dragon Decel(Lv 30) (ID: 673); Brutal Dragon Decel(Lv 50) (ID: 674); Brutal Dragon Decel(Lv 60) (ID: 675),Nisel Mountain: The Top; Nisel Mountain: The Top; Nisel Mountain: The Top; Nisel Mountain: The Top,Material,[]
37,Bundled Leaves,1 Spina,2 Medicine,,Colon Commander(Lv 33) (ID: 84),Strum Road,Material,[]
38,Burning Liquid,3 Spina,4 Wood,,Savaran (small)(Lv 27) (ID: 135); Red Jelly(Lv 31) (ID: 136); Savaran (small)(Lv 30) (ID: 142),Fiery Volcano: Area 1; Fiery Volcano: Area 1; Fiery Volcano: Area 3,Material,[]
39,Burnt Coal,7 Spina,7 Medicine,,Fire Ghost(Lv 28) (ID: 137); Fire Ghost(Lv 28) (ID: 139),Fiery Volcano: Area 1; Fiery Volcano: Area 2,Material,[]
40,Burnt Wood,3 Spina,2 Wood,,Calron(Lv 16) (ID: 130); Calron(Lv 17) (ID: 131),Witeka Scorched Plains; Witeka Scorched Plains,Material,[]
41,Butterfly Scale,1 Spina,2 Medicine,,Farfara(Lv 13) (ID: 39),Ruined Temple Town,Material,[]
42,Butterfly Wing,3 Spina,4 Cloth,,Farfara(Lv 13) (ID: 39); Farfara(Lv 40) (ID: 227),Ruined Temple Town; Darkanon Plain,Material,[]
43,Chaos Stone,7 Spina,6 Metal,,Rutin(Lv 36) (ID: 168),Land Of Chaos,Material,[]
44,Claw-like Branch,3 Spina,3 Wood,,Water Ghost(Lv 31) (ID: 196),Nehelo Swamp,Material,[]
45,Clear Water,4 Spina,5 Medicine,,Voda Roar(Lv 37) (ID: 183); Voda Roar(Lv 37) (ID: 185); Soda Potum(Lv 45) (ID: 212),Lutaros Cavern Entrance; Lutaros Cavern: B1; Korda Basin,Material,[]
46,Clot of Black Mist,7 Spina,2 Mana,,Death Hound(Lv 31) (ID: 161); Death Hound(Lv 32) (ID: 163),Scaro Town: Area 1; Scaro Town: Area 2,Material,[]
47,Coal,5 Spina,6 Metal,,Calron(Lv 16) (ID: 130); Calron(Lv 17) (ID: 131),Witeka Scorched Plains; Witeka Scorched Plains,Material,[]
48,Colon Leaf,1 Spina,2 Medicine,,Colon(Lv 4) (ID: 2); Boss Colon(Lv 30) (ID: 648); Boss Colon(Lv 20) (ID: 647); Boss Colon(Lv 4) (ID: 646); Colon(Lv 9) (ID: 109); Helm Colon(Lv 18) (ID: 89); Helm Colon(Lv 16) (ID: 88); Colon(Lv 19) (ID: 87); Colon(Lv 17) (ID: 86); Helm Colon(Lv 13) (ID: 83); Helm Colon(Lv 11) (ID: 82); Colon(Lv 11) (ID: 81); Colon(Lv 9) (ID: 80); Colon(Lv 5) (ID: 79); Colon(Lv 3) (ID: 78); Colon(Lv 1) (ID: 77); The Strongest boss in game(Lv 999) (ID: 6); Colon(Lv 6) (ID: 3); Boss Colon(Lv 50) (ID: 649),Land Under Development; Land Under Development; Land Under Development; Land Under Development; Suedor Cliff; Marbaro Forest; Marbaro Forest; Marbaro Forest; Marbaro Forest; Strum Road; Strum Road; Strum Road; Strum Road; Rugio Ruins; Rugio Ruins; Rugio Ruins; Land Under Development; Land Under Development; Land Under Development,Material,[]
49,Colon Skin,3 Spina,3 Wood,,Colon(Lv 4) (ID: 2); Helm Colon(Lv 18) (ID: 89); Helm Colon(Lv 16) (ID: 88); Colon(Lv 19) (ID: 87); Colon(Lv 17) (ID: 86); Colon Commander(Lv 33) (ID: 84); Helm Colon(Lv 13) (ID: 83); Helm Colon(Lv 11) (ID: 82); Colon(Lv 11) (ID: 81); Colon(Lv 9) (ID: 80); Colon(Lv 6) (ID: 3); Colon(Lv 9) (ID: 109),Land Under Development; Marbaro Forest; Marbaro Forest; Marbaro Forest; Marbaro Forest; Strum Road; Strum Road; Strum Road; Strum Road; Strum Road; Land Under Development; Suedor Cliff,Material,[]
50,Cracked Helmet,7 Spina,7 Metal,,Goblin (sword)(Lv 24) (ID: 118); Goblin (sword)(Lv 24) (ID: 121); Goblin (sword)(Lv 24) (ID: 123); Goblin (sword)(Lv 26) (ID: 124); Goblin (sword)(Lv 28) (ID: 127),Ribisco Cave: Area 1; Ribisco Cave: Area 2; Ribisco Cave: Area 3; Ribisco Cave: Area 3; Ribisco Cave: Deepest Part,Material,[]
51,Cracked Stick,3 Spina,5 Wood,,Orc(Lv 46) (ID: 213),Saham Crater,Material,[]
52,Cracked Stone,3 Spina,4 Metal,,Torpo(Lv 8) (ID: 8); Torpo(Lv 9) (ID: 10); Torpo(Lv 10) (ID: 13); Stone Knight(Lv 29) (ID: 138); Stone Knight(Lv 30) (ID: 141),Underground Ruins; Underground Ruins: B1; Underground Ruins: B2; Fiery Volcano: Area 1; Fiery Volcano: Area 2,Material,[]
53,Crimson Claw,6 Spina,6 Beast,,Seltirios(Lv 60) (ID: 176),Aulada Ancient Tower,Material,[]
54,Crushed Woodchip,5 Spina,4 Wood,,Goblin (slingshot)(Lv 23) (ID: 114); Goblin (slingshot)(Lv 25) (ID: 119); Goblin (slingshot)(Lv 25) (ID: 122); Goblin (slingshot)(Lv 25) (ID: 125); Goblin (slingshot)(Lv 27) (ID: 126); Goblin (slingshot)(Lv 26) (ID: 128),Rinom Plains; Ribisco Cave: Area 1; Ribisco Cave: Area 2; Ribisco Cave: Area 3; Ribisco Cave: Area 3; Ribisco Cave: Deepest Part,Material,[]
55,Crustacean Steel,6 Spina,6 Metal,,Ganglef(Lv 58) (ID: 166); Ganglef(Lv 48) (ID: 723); Ganglef(Lv 68) (ID: 724); Ganglef(Lv 78) (ID: 725); Ganglef(Lv 98) (ID: 726),Scaro Town: Deepest Part; Scaro Town: Deepest Part; Scaro Town: Deepest Part; Scaro Town: Deepest Part; Scaro Town: Deepest Part,Material,[]
56,Crystal of Flowing Water,1 Spina,2 Mana,,Voda Roar(Lv 37) (ID: 183); Voda Roar(Lv 37) (ID: 185); Evil Ice Crystal(Lv 71) (ID: 1013); Evil Ice Crystal(Lv 71) (ID: 1017); Evil Ice Crystal(Lv 71) (ID: 1018),Lutaros Cavern Entrance; Lutaros Cavern: B1; Navida City: Crossroad (60-80); Navida City: West  (60-80); Navida City: East (60-80),Material,[]
57,Damaged Parchment,5 Spina,5 Cloth,,Devil's Book(Lv 34) (ID: 165),Scaro Town: Area 2,Material,[]
58,Dark Gray Claw,11 Spina,12 Metal,,Warmonger(Lv 60) (ID: 193); Warmonger(Lv 50) (ID: 878); Warmonger(Lv 70) (ID: 879); Warmonger(Lv 80) (ID: 880); Warmonger(Lv 100) (ID: 881),Haotas Ravine: Deepest Part; Haotas Ravine: Deepest Part; Haotas Ravine: Deepest Part; Haotas Ravine: Deepest Part; Haotas Ravine: Deepest Part,Material,[]
59,Dented Iron Plate,4 Spina,4 Metal,,Mutant Goblin(Lv 44) (ID: 215); Orc Warrior(Lv 46) (ID: 219); Orc Warrior(Lv 47) (ID: 220); Orc Warrior(Lv 49) (ID: 223),Saham Crater; Saham Underground Cave: B1; Saham Underground Cave: B2; Saham Underground Cave: B3,Material,[]
60,Dented Little Helmet,5 Spina,6 Metal,,Soldier Rat(Lv 30) (ID: 160),Scaro Town: Area 1,Material,[]
61,Dirty Cloth,2 Spina,2 Cloth,,Goblin (slingshot)(Lv 23) (ID: 114); Goblin (slingshot)(Lv 25) (ID: 119); Goblin (slingshot)(Lv 25) (ID: 122); Goblin (slingshot)(Lv 25) (ID: 125); Goblin (slingshot)(Lv 27) (ID: 126); Goblin (slingshot)(Lv 26) (ID: 128),Rinom Plains; Ribisco Cave: Area 1; Ribisco Cave: Area 2; Ribisco Cave: Area 3; Ribisco Cave: Area 3; Ribisco Cave: Deepest Part,Material,[]
62,Dirty Nail,5 Spina,6 Metal,,Torpo(Lv 7) (ID: 1),Land Under Development,Material,[]
63,Dried Wood,4 Spina,4 Wood,,Palace Soldier(Lv 41) (ID: 200); Palace Soldier(Lv 41) (ID: 203); Kijimu(Lv 44) (ID: 210),New Moon Palace: 1st Chamber; New Moon Palace: 2nd Chamber; Korda Basin,Material,[]
64,Eerie Stone,7 Spina,7 Metal,,Demon's Gate(Lv 60) (ID: 217); Demon's Gate(Lv 50) (ID: 882); Demon's Gate(Lv 70) (ID: 883); Demon's Gate(Lv 80) (ID: 884); Demon's Gate(Lv 100) (ID: 885),Saham Crater; Saham Crater; Saham Crater; Saham Crater; Saham Crater,Material,[]
65,Emerald Stone,13 Spina,3 Mana,,Ooze(Lv 52) (ID: 188); Ooze(Lv 42) (ID: 749); Ooze(Lv 62) (ID: 750); Ooze(Lv 72) (ID: 751); Ooze(Lv 92) (ID: 752),Lutaros Cavern: Deepest Part; Lutaros Cavern: Deepest Part; Lutaros Cavern: Deepest Part; Lutaros Cavern: Deepest Part; Lutaros Cavern: Deepest Part,Material,[]
66,Evil Page,7 Spina,2 Mana,,Devil's Book(Lv 34) (ID: 165),Scaro Town: Area 2,Material,[]
67,Fairy Feather,4 Spina,5 Cloth,,Roar(Lv 21) (ID: 47); Shiny Roar(Lv 86) (ID: 524); Shiny Roar(Lv 86) (ID: 522); Scalar Roar(Lv 69) (ID: 376); Scalar Roar(Lv 69) (ID: 372); Nightmare Roar(Lv 49) (ID: 244); Flame Roar(Lv 43) (ID: 214); Voda Roar(Lv 37) (ID: 185); Voda Roar(Lv 37) (ID: 183); Wind Roar(Lv 32) (ID: 152); Silver Roar(Lv 42) (ID: 62); Roar(Lv 21) (ID: 51); Shiny Roar(Lv 86) (ID: 700),Ruined Temple: Area 2; Garden of Sublimation: Area 2; Garden of Sublimation: Area 1; Akaku Desert: Area 2; Akaku Desert: Area 1; Ancient Empress Tomb: Area 3; Saham Crater; Lutaros Cavern: B1; Lutaros Cavern Entrance; Zoktzda Ruins : Abnormal Space; Debakcy Channel: B1; Ruined Temple: Area 3; Garden of Sublimation: Area 3,Material,[]
68,Fairy Nose,7 Spina,7 Beast,,Boss Goblin(Lv 40) (ID: 129); B.B. Goblin(Lv 90) (ID: 898); B.B. Goblin(Lv 80) (ID: 897); B.B. Goblin(Lv 60) (ID: 896); Boss Goblin(Lv 80) (ID: 710); Boss Goblin(Lv 60) (ID: 709); Boss Goblin(Lv 50) (ID: 708); Boss Goblin(Lv 30) (ID: 707); B.B. Goblin(Lv 70) (ID: 285); B.B. Goblin(Lv 110) (ID: 899),Ribisco Cave: Deepest Part; Rinom Plains; Rinom Plains; Rinom Plains; Ribisco Cave: Deepest Part; Ribisco Cave: Deepest Part; Ribisco Cave: Deepest Part; Ribisco Cave: Deepest Part; Rinom Plains; Rinom Plains,Material,[]
69,Fatigued Blade,5 Spina,6 Metal,,Skeleton(Lv 30) (ID: 147),Zoktzda Ruins,Material,[]
70,Fiery Gemstone,14 Spina,3 Mana,,Flare Volg(Lv 50) (ID: 145); Flare Volg(Lv 40) (ID: 715); Flare Volg(Lv 60) (ID: 716); Flare Volg(Lv 70) (ID: 717); Flare Volg(Lv 90) (ID: 718),Fiery Volcano: Boss Map; Fiery Volcano: Boss Map; Fiery Volcano: Boss Map; Fiery Volcano: Boss Map; Fiery Volcano: Boss Map,Material,[]
71,Fine Sand,8 Spina,8 Metal,,Sand Frosch(Lv 46) (ID: 228); Sand Frosch(Lv 47) (ID: 886),Centerio Highlands; Centerio Highlands,Material,[]
72,Fire Feather,3 Spina,3 Beast,,Flame Butterfly(Lv 29) (ID: 140); Flame Butterfly(Lv 31) (ID: 143),Fiery Volcano: Area 2; Fiery Volcano: Area 3,Material,[]
73,Fire Resistant Fabric,5 Spina,6 Cloth,,Fire Ghost(Lv 28) (ID: 137); Fire Ghost(Lv 28) (ID: 139); Water Ghost(Lv 31) (ID: 196),Fiery Volcano: Area 1; Fiery Volcano: Area 2; Nehelo Swamp,Material,[]
74,Fish Scale,3 Spina,3 Beast,,Turquoise Lionfish(Lv 39) (ID: 187),Lutaros Cavern: B2,Material,[]
75,Flame Grass,5 Spina,6 Medicine,ATK: 5; % stronger against Earth: 1,Flame Butterfly(Lv 29) (ID: 140); Flame Butterfly(Lv 31) (ID: 143); Flame Roar(Lv 43) (ID: 214),Fiery Volcano: Area 2; Fiery Volcano: Area 3; Saham Crater,Usable,[]
76,Flare Volg Claw,6 Spina,6 Beast,,Flare Volg(Lv 50) (ID: 145); Flare Volg(Lv 40) (ID: 715); Flare Volg(Lv 60) (ID: 716); Flare Volg(Lv 70) (ID: 717); Flare Volg(Lv 90) (ID: 718),Fiery Volcano: Boss Map; Fiery Volcano: Boss Map; Fiery Volcano: Boss Map; Fiery Volcano: Boss Map; Fiery Volcano: Boss Map,Material,[]
77,Flare Volg Horn,20 Spina,20 Beast,,Flare Volg(Lv 50) (ID: 145); Flare Volg(Lv 40) (ID: 715); Flare Volg(Lv 60) (ID: 716); Flare Volg(Lv 70) (ID: 717); Flare Volg(Lv 90) (ID: 718),Fiery Volcano: Boss Map; Fiery Volcano: Boss Map; Fiery Volcano: Boss Map; Fiery Volcano: Boss Map; Fiery Volcano: Boss Map,Material,[]
